Traject 1
Hilversum;Amsterdam Amstel;Alkmaar-Castricum;Castricum-Alkmaar;52.22583389;5.18194437;52.34666824;4.917778015;28;;
Amsterdam Amstel;Amsterdam Centraal;Alkmaar-Den Helder;Den Helder-Alkmaar;;52.34666824;4.917778015;52.37888718;4.900277615;8;
Amsterdam Centraal;Amsterdam Sloterdijk;Almelo-Hengelo;Hengelo-Almelo;;52.37888718;4.900277615;52.38888931;4.837777615;6;;
Amsterdam Sloterdijk;Zaandam;Almelo-Zwolle;Zwolle-Almelo;;52.38888931;4.837777615;52.43888855;4.813611031;6;;
Zaandam;Castricum;Almere Centrum-Amsterdam Amstel;Amsterdam Amstel-Almere Centrum;;52.43888855;4.813611031;52.54583359;4.658611298;12;
Castricum;Beverwijk;Almere Centrum-Lelystad Centrum;Lelystad Centrum-Almere Centrum;;52.54583359;4.658611298;52.47833252;4.656666756;13;
Beverwijk;Haarlem;Alphen a/d Rijn-Utrecht Centraal;Utrecht Centraal-Alphen a/d Rijn;;52.47833252;4.656666756;52.38777924;4.638333321;16;
Haarlem;Heemstede Aerdenhout;52.38777924;4.638333321;52.35916519;4.606666565;6;;
Heemstede Aerdenhout;Leiden Centraal;Amersfoort-Utrecht Centraal;Utrecht Centraal-Amersfoort;;52.35916519;4.606666565;52.16611099;4.481666565;13;;
Leiden Centraal;Den Haag HS;Amsterdam Amstel-Amsterdam Centraal;Amsterdam Centraal-Amsterdam Amstel;;52.16611099;4.481666565;52.06972122;4.322500229;12;;
Den Haag HS;Delft;Amsterdam Amstel-Amsterdam Zuid;Amsterdam Zuid-Amsterdam Amstel;;52.06972122;4.322500229;52.00666809;4.356389046;8;;
Delft;Schiedam Centrum;Amsterdam Amstel-Utrecht Centraal;Utrecht Centraal-Amsterdam Amstel;;52.00666809;4.356389046;51.92124381;4.408993721;7;;
Schiedam Centrum;Rotterdam Centraal;Amsterdam Centraal-Almere Centrum;Almere Centrum-Amsterdam Centraal;;51.92124381;4.408993721;51.92499924;4.46888876;5;;
Rotterdam Centraal;Rotterdam Alexander;Amsterdam Centraal-Amsterdam Sloterdijk;Amsterdam Sloterdijk-Amsterdam Centraal;;51.92499924;4.46888876;51.95194626;4.553611279;8;;
Rotterdam Alexander;Rotterdam Blaak;Amsterdam Sloterdijk-Haarlem;Haarlem-Amsterdam Sloterdijk;;51.95194626;4.553611279;51.92027664;4.488888741;9;;
